X,Y,Z
10.1219,-7.50637,-37.4402
9.89258,-7.59749,-37.2013
10.1304,-7.97869,-37.4159
9.89945,-8.04867,-37.1439
10.2358,-8.65754,-37.5226
9.77736,-9.88414,-37.2676
10.1309,-9.9018,-37.5377
9.78908,-9.34726,-37.2805
10.2434,-9.34812,-37.5013
9.75448,-8.80363,-37.2938
10.2356,-8.75092,-37.5277
10.2358,-8.65754,-37.5226
9.89945,-8.04867,-37.1439
9.89258,-7.59749,-37.2013
9.24784,-7.73642,-37.7193
9.89945,-8.04867,-37.1439
9.17203,-8.08594,-37.6288
9.75448,-8.80363,-37.2938
9.1218,-8.74576,-37.6288
9.12177,-9.31295,-37.6287
9.78908,-9.34726,-37.2805
9.12176,-9.86809,-37.6287
9.77736,-9.88414,-37.2676
9.25828,-7.62816,-37.7909
9.24784,-7.73642,-37.7193
9.89073,-7.5975,-37.1409
9.89073,-7.5975,-37.1409
9.24784,-7.73642,-37.7193
9.89258,-7.59749,-37.2013
9.91822,-7.59752,-37.0533
9.27766,-7.61314,-37.7389
9.25828,-7.62816,-37.7909
9.27766,-7.61314,-37.7389
9.91822,-7.59752,-37.0533
9.31197,-7.53377,-37.7108
9.91648,-7.50448,-37.057
9.25828,-7.53376,-37.7909
9.31197,-7.53377,-37.7108
9.89098,-7.50447,-37.1409
9.91648,-7.50448,-37.057
9.91822,-7.59752,-37.0533
10.0965,-7.49074,-37.2956
9.91648,-7.50448,-37.057
10.067,-7.42311,-37.2821
10.0833,-7.43024,-37.3705
9.89098,-7.50447,-37.1409
10.067,-7.42311,-37.2821
9.91648,-7.50448,-37.057
9.91822,-7.59752,-37.0533
9.89073,-7.5975,-37.1409
10.0965,-7.49074,-37.2956
10.1115,-7.49997,-37.3812
9.89258,-7.59749,-37.2013
10.1219,-7.50637,-37.4402
9.71367,-9.41095,-37.1516
9.78902,-9.43008,-37.2793
9.71403,-9.4119,-37.1681
9.78101,-9.43035,-37.2836
9.78124,-9.43942,-37.2834
9.7139,-9.42094,-37.1674
9.78101,-9.43035,-37.2836
9.71403,-9.4119,-37.1681
9.71968,-9.42049,-37.1599
9.7139,-9.42094,-37.1674
9.78925,-9.43915,-37.2791
9.78124,-9.43942,-37.2834
9.71367,-9.41095,-37.1516
9.71968,-9.42049,-37.1599
9.78902,-9.43008,-37.2793
9.78925,-9.43915,-37.2791
9.30102,-9.44153,-36.4703
9.3008,-9.43246,-36.4705
9.51564,-9.41782,-36.896
9.51542,-9.40875,-36.8962
9.7139,-9.42094,-37.1674
9.71403,-9.4119,-37.1681
9.30903,-9.44125,-36.4661
9.30102,-9.44153,-36.4703
9.52366,-9.41754,-36.8918
9.51564,-9.41782,-36.896
9.71968,-9.42049,-37.1599
9.7139,-9.42094,-37.1674
9.30881,-9.43218,-36.4662
9.52343,-9.40847,-36.8919
9.3008,-9.43246,-36.4705
9.51542,-9.40875,-36.8962
9.71367,-9.41095,-37.1516
9.71403,-9.4119,-37.1681
9.71968,-9.42049,-37.1599
9.71367,-9.41095,-37.1516
9.52366,-9.41754,-36.8918
9.52343,-9.40847,-36.8919
9.30881,-9.43218,-36.4662
9.30903,-9.44125,-36.4661
9.7067,-8.8993,-37.1705
9.76935,-8.90221,-37.285
9.69984,-8.89962,-37.1763
9.76134,-8.90248,-37.2893
9.69984,-8.89962,-37.1763
9.76134,-8.90248,-37.2893
9.69985,-8.90871,-37.1764
9.76157,-8.91155,-37.2891
9.69985,-8.90871,-37.1764
9.76157,-8.91155,-37.2891
9.70821,-8.90845,-37.1728
9.76958,-8.91128,-37.2849
9.7067,-8.8993,-37.1705
9.70821,-8.90845,-37.1728
9.76935,-8.90221,-37.285
9.76958,-8.91128,-37.2849
9.28314,-8.90848,-36.4718
9.28454,-8.89931,-36.4717
9.47252,-8.90049,-36.8582
9.4735,-8.89135,-36.8581
9.69985,-8.90871,-37.1764
9.69984,-8.89962,-37.1763
9.29074,-8.90816,-36.4677
9.28314,-8.90848,-36.4718
9.48019,-8.90018,-36.854
9.47252,-8.90049,-36.8582
9.69985,-8.90871,-37.1764
9.70821,-8.90845,-37.1728
9.7067,-8.8993,-37.1705
9.69984,-8.89962,-37.1763
9.48119,-8.89104,-36.8539
9.4735,-8.89135,-36.8581
9.28454,-8.89931,-36.4717
9.29215,-8.89899,-36.4675
9.70821,-8.90845,-37.1728
9.7067,-8.8993,-37.1705
9.48019,-8.90018,-36.854
9.48119,-8.89104,-36.8539
9.29215,-8.89899,-36.4675
9.29074,-8.90816,-36.4677
9.82821,-8.15639,-37.18
9.8342,-8.15716,-37.192
9.76532,-8.51769,-37.2338
9.76858,-8.5166,-37.2467
9.75448,-8.80363,-37.2938
9.74692,-8.80277,-37.2829
9.76858,-8.5166,-37.2467
9.76532,-8.51769,-37.2338
9.74692,-8.80277,-37.2829
9.75448,-8.80363,-37.2938
9.77245,-9.15228,-37.2795
9.77863,-9.15221,-37.2914
9.77765,-9.50511,-37.2797
9.78384,-9.50505,-37.2916
9.8342,-8.15716,-37.192
9.84488,-8.16287,-37.1863
9.76858,-8.5166,-37.2467
9.7813,-8.51951,-37.2438
9.75448,-8.80363,-37.2938
9.76513,-8.80659,-37.2863
9.77863,-9.15221,-37.2914
9.79049,-9.15223,-37.2852
9.78384,-9.50505,-37.2916
9.79571,-9.50506,-37.2854
9.82821,-8.15639,-37.18
9.76532,-8.51769,-37.2338
9.83889,-8.16209,-37.1744
9.77804,-8.52061,-37.2309
9.74692,-8.80277,-37.2829
9.75757,-8.80573,-37.2754
9.77245,-9.15228,-37.2795
9.78431,-9.15231,-37.2733
9.77765,-9.50511,-37.2797
9.78951,-9.50512,-37.2735
9.83889,-8.16209,-37.1744
9.77804,-8.52061,-37.2309
9.84488,-8.16287,-37.1863
9.7813,-8.51951,-37.2438
9.75757,-8.80573,-37.2754
9.76513,-8.80659,-37.2863
9.78431,-9.15231,-37.2733
9.79049,-9.15223,-37.2852
9.78951,-9.50512,-37.2735
9.79571,-9.50506,-37.2854
9.76388,-8.14654,-37.0633
9.76985,-8.14731,-37.0752
9.72573,-8.52788,-37.0961
9.72896,-8.52676,-37.109
9.69783,-8.79416,-37.1835
9.69028,-8.79331,-37.1725
9.72896,-8.52676,-37.109
9.72573,-8.52788,-37.0961
9.69028,-8.79331,-37.1725
9.69783,-8.79416,-37.1835
9.70205,-9.1534,-37.1643
9.70825,-9.15332,-37.1762
9.71093,-9.52533,-37.1638
9.71713,-9.52525,-37.1757
9.76985,-8.14731,-37.0752
9.78054,-8.15301,-37.0696
9.72896,-8.52676,-37.109
9.74169,-8.52969,-37.1062
9.69783,-8.79416,-37.1835
9.70848,-8.79712,-37.176
9.70825,-9.15332,-37.1762
9.72012,-9.15334,-37.17
9.71713,-9.52525,-37.1757
9.72899,-9.52527,-37.1695
9.77457,-8.15224,-37.0576
9.73846,-8.5308,-37.0932
9.78054,-8.15301,-37.0696
9.74169,-8.52969,-37.1062
9.70092,-8.79627,-37.165
9.70848,-8.79712,-37.176
9.71392,-9.15342,-37.1581
9.72012,-9.15334,-37.17
9.72279,-9.52535,-37.1576
9.72899,-9.52527,-37.1695
9.76388,-8.14654,-37.0633
9.72573,-8.52788,-37.0961
9.77457,-8.15224,-37.0576
9.73846,-8.5308,-37.0932
9.70092,-8.79627,-37.165
9.69028,-8.79331,-37.1725
9.70205,-9.1534,-37.1643
9.71392,-9.15342,-37.1581
9.71093,-9.52533,-37.1638
9.72279,-9.52535,-37.1576
9.78245,-9.43323,-37.2858
9.77876,-9.18019,-37.2833
9.72075,-9.41758,-37.1679
9.71313,-9.16349,-37.1694
9.77854,-9.0083,-37.2812
9.70476,-9.00997,-37.1703
9.75306,-8.80446,-37.2887
